JenisKelamin,AsalSMA,Nikah,UkuranProgram,Kelulusan
Perempuan,SMA,Sudah,Reguler,Tepat
Laki-laki,SMA,Sudah,Reguler,Tepat
Laki-laki,SMA,Belum,Reguler,Tepat
Laki-laki,SMA,Sudah,Reguler,Tepat
Laki-laki,SMK,Belum,Reguler,Tepat
Laki-laki,SMA,Belum,Ekstensi,Tepat
Laki-laki,SMK,Sudah,Reguler,Terlambat
Perempuan,SMK,Sudah,Ekstensi,Terlambat
Laki-laki,SMA,Sudah,Ekstensi,Terlambat
Laki-laki,SMA,Sudah,Reguler,Tepat
Perempuan,SMA,Sudah,Ekstensi,Tepat
Laki-laki,SMA,Belum,Ekstensi,Tepat
Laki-laki,SMK,Belum,Ekstensi,Terlambat
Laki-laki,SMK,Sudah,Reguler,Terlambat
Perempuan,SMA,Sudah,Ekstensi,Tepat
Perempuan,SMK,Belum,Reguler,Tepat
Perempuan,SMA,Sudah,Ekstensi,Tepat
Perempuan,SMK,Sudah,Reguler,Tepat
Perempuan,SMA,Belum,Ekstensi,Tepat
Laki-laki,SMK,Belum,Reguler,Tepat
Laki-laki,SMK,Sudah,Ekstensi,Terlambat
Laki-laki,SMA,Belum,Reguler,Tepat
Perempuan,SMK,Sudah,Ekstensi,Terlambat
Laki-laki,SMK,Belum,Reguler,Tepat
Laki-laki,SMK,Belum,Reguler,Tepat
Perempuan,SMA,Sudah,Reguler,Tepat
Perempuan,SMK,Sudah,Ekstensi,Terlambat
Perempuan,SMK,Belum,Ekstensi,Tepat
Laki-laki,SMA,Belum,Reguler,Tepat
Laki-laki,SMK,Sudah,Ekstensi,Terlambat
Perempuan,SMK,Sudah,Ekstensi,Terlambat
Laki-laki,SMA,Belum,Reguler,Tepat
Perempuan,SMK,Belum,Reguler,Tepat
Laki-laki,SMK,Sudah,Reguler,Terlambat
Perempuan,SMK,Belum,Reguler,Tepat
Perempuan,SMA,Belum,Reguler,Tepat
Laki-laki,SMA,Belum,Reguler,Tepat
Perempuan,SMA,Belum,Ekstensi,Tepat
Laki-laki,SMK,Sudah,Ekstensi,Terlambat
Laki-laki,SMK,Belum,Ekstensi,Terlambat
Perempuan,SMK,Sudah,Ekstensi,Terlambat
Laki-laki,SMK,Sudah,Ekstensi,Terlambat
Perempuan,SMK,Belum,Ekstensi,Tepat
Perempuan,SMK,Belum,Reguler,Tepat
Perempuan,SMA,Sudah,Ekstensi,Tepat
Laki-laki,SMK,Sudah,Reguler,Terlambat
Perempuan,SMK,Sudah,Ekstensi,Terlambat
Perempuan,SMA,Belum,Reguler,Tepat
Perempuan,SMK,Belum,Ekstensi,Tepat
Perempuan,SMA,Belum,Ekstensi,Tepat
Laki-laki,SMA,Belum,Ekstensi,Tepat
Perempuan,SMA,Belum,Reguler,Tepat
Laki-laki,SMK,Sudah,Reguler,Terlambat
Perempuan,SMK,Belum,Ekstensi,Tepat
Perempuan,SMK,Sudah,Reguler,Tepat
Perempuan,SMK,Sudah,Reguler,Tepat
Laki-laki,SMK,Belum,Reguler,Tepat
Perempuan,SMA,Belum,Ekstensi,Tepat
Laki-laki,SMK,Belum,Ekstensi,Terlambat
Laki-laki,SMK,Belum,Ekstensi,Terlambat
Laki-laki,SMK,Belum,Ekstensi,Terlambat
Perempuan,SMK,Belum,Reguler,Tepat
Laki-laki,SMA,Belum,Ekstensi,Tepat
Laki-laki,SMA,Sudah,Ekstensi,Terlambat
Laki-laki,SMA,Belum,Reguler,Tepat
Perempuan,SMK,Belum,Ekstensi,Tepat
Laki-laki,SMA,Sudah,Reguler,Tepat
Perempuan,SMK,Sudah,Reguler,Tepat
Laki-laki,SMK,Sudah,Ekstensi,Terlambat
Perempuan,SMA,Sudah,Ekstensi,Tepat
Laki-laki,SMK,Sudah,Reguler,Terlambat
Perempuan,SMA,Sudah,Reguler,Tepat
Perempuan,SMK,Sudah,Reguler,Tepat
Perempuan,SMA,Sudah,Ekstensi,Tepat
Laki-laki,SMA,Sudah,Ekstensi,Terlambat
Laki-laki,SMA,Belum,Reguler,Tepat
Laki-laki,SMA,Belum,Ekstensi,Tepat
Perempuan,SMA,Belum,Ekstensi,Tepat
Perempuan,SMA,Belum,Reguler,Tepat
Laki-laki,SMA,Belum,Ekstensi,Tepat
Perempuan,SMK,Belum,Ekstensi,Tepat
Perempuan,SMA,Sudah,Ekstensi,Tepat
Perempuan,SMA,Belum,Ekstensi,Tepat
Laki-laki,SMA,Sudah,Ekstensi,Terlambat
Laki-laki,SMA,Belum,Ekstensi,Tepat
Laki-laki,SMK,Sudah,Reguler,Terlambat
Perempuan,SMA,Belum,Reguler,Tepat
Perempuan,SMK,Belum,Reguler,Tepat
Laki-laki,SMK,Belum,Ekstensi,Terlambat
Perempuan,SMK,Sudah,Ekstensi,Terlambat
Laki-laki,SMK,Sudah,Reguler,Terlambat
Perempuan,SMA,Sudah,Ekstensi,Tepat
Laki-laki,SMA,Sudah,Reguler,Tepat
Perempuan,SMK,Belum,Ekstensi,Tepat
Perempuan,SMA,Sudah,Reguler,Tepat
Laki-laki,SMA,Belum,Reguler,Tepat
Perempuan,SMA,Belum,Reguler,Tepat
Laki-laki,SMK,Belum,Ekstensi,Terlambat
Perempuan,SMA,Belum,Ekstensi,Tepat
Perempuan,SMA,Sudah,Reguler,Tepat
Laki-laki,SMA,Belum,Ekstensi,Tepat
Laki-laki,SMK,Belum,Ekstensi,Terlambat
Laki-laki,SMK,Sudah,Reguler,Terlambat
Laki-laki,SMA,Belum,Ekstensi,Tepat
Laki-laki,SMK,Belum,Reguler,Tepat
Laki-laki,SMA,Sudah,Reguler,Tepat
Laki-laki,SMK,Sudah,Ekstensi,Terlambat
Laki-laki,SMA,Sudah,Ekstensi,Terlambat
Laki-laki,SMK,Belum,Reguler,Tepat
Laki-laki,SMK,Sudah,Ekstensi,Terlambat
Perempuan,SMA,Sudah,Reguler,Tepat
Perempuan,SMA,Belum,Ekstensi,Tepat
Perempuan,SMK,Sudah,Ekstensi,Terlambat
Laki-laki,SMK,Belum,Reguler,Tepat
Laki-laki,SMK,Sudah,Ekstensi,Terlambat
Perempuan,SMA,Sudah,Reguler,Tepat
Perempuan,SMK,Sudah,Reguler,Tepat
Perempuan,SMK,Belum,Reguler,Tepat
Laki-laki,SMK,Sudah,Reguler,Terlambat
